onset	duration	label
0.575	4.085	eyes_closed	
5.89	4.02	eyes_closed	
19.65	4.085	eyes_closed	
34.755	3.89	eyes_closed	
54.295	3.8	eyes_closed	
60.275	3.64	eyes_closed	
69.245	4.19	eyes_closed	
76.02	3.68	eyes_closed	
80.525	3.64	eyes_closed	
86.725	3.2	eyes_closed	
137.495	3.315	eyes_closed	
146.935	4.02	eyes_closed	
159.35	3.89	eyes_closed	
198.515	4.5	eyes_closed	
222.22	6.32	eyes_closed	
265.43	4.125	eyes_closed	
271.635	3.43	eyes_closed	
305.72	3.615	eyes_closed	
312.205	3.565	eyes_closed	
317.91	4.455	eyes_closed	
322.48	3.525	eyes_closed	
331.465	3.355	eyes_closed	
334.935	4.465	eyes_closed	
